Map Name,Density %,Agent #,CBS Sum Of Cost,SIPP Sum Of Cost,CBS Makespan,SIPP Makespan,CBS Time,SIPP Time
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex58.yaml,18.75,1,6,6,6,6,0.0009968280792236328,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex59.yaml,18.75,1,8,8,8,8,0.0,0.0009970664978027344
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex6.yaml,18.75,1,10,10,10,10,0.0020151138305664062,0.0009777545928955078
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex60.yaml,18.75,1,4,4,4,4,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex61.yaml,18.75,1,1,4,1,4,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex62.yaml,18.75,1,6,6,6,6,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex63.yaml,18.75,1,7,7,7,7,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex64.yaml,18.75,1,9,9,9,9,0.0009970664978027344,0.000997304916381836
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex65.yaml,18.75,1,2,2,2,2,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex66.yaml,18.75,1,8,8,8,8,0.0,0.0009968280792236328
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex67.yaml,18.75,1,11,11,11,11,0.0019941329956054688,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex68.yaml,18.75,1,9,9,9,9,0.0019943714141845703,0.0009980201721191406
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex69.yaml,18.75,1,6,6,6,6,0.0,0.0010099411010742188
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex7.yaml,18.75,1,12,12,12,12,0.0009930133819580078,0.000997781753540039
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex70.yaml,18.75,1,11,11,11,11,0.0019958019256591797,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex71.yaml,18.75,1,3,3,3,3,0.0,0.0009768009185791016
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex72.yaml,18.75,1,15,15,15,15,0.004983425140380859,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex73.yaml,18.75,1,3,3,3,3,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex74.yaml,18.75,1,10,10,10,10,0.000997304916381836,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex75.yaml,18.75,1,7,7,7,7,0.0009975433349609375,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex76.yaml,18.75,1,10,10,10,10,0.0009772777557373047,0.0009946823120117188
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex77.yaml,18.75,1,8,8,8,8,0.0009768009185791016,0.000978231430053711
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex78.yaml,18.75,1,6,6,6,6,0.0,0.0009980201721191406
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex79.yaml,18.75,1,5,5,5,5,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex8.yaml,18.75,1,8,8,8,8,0.0009760856628417969,0.000997304916381836
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex80.yaml,18.75,1,15,15,15,15,0.0030126571655273438,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex81.yaml,18.75,1,3,3,3,3,0.0,0.0
